"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.458332399E0,2.783595920E-1,-1.064892530E0,-1.476963043E0
1.476159608E0,3.061060607E-1,-6.611783504E-1,-2.329010010E0
1.493980898E0,7.853180170E-2,-5.537493229E-1,-2.633931637E0
1.511809755E0,-1.587713510E-1,-4.834256172E-1,-2.571644783E0
1.529626710E0,-4.046917558E-1,-5.683119297E-1,-2.250315666E0
1.547454225E0,-7.196435332E-1,-7.119452953E-1,-1.559551239E0
1.565281434E0,-1.014166236E0,-8.531284332E-1,-1.366263390E0
1.583101442E0,-9.595564604E-1,-6.112380028E-1,-7.919330597E-1
1.600924319E0,-8.764443398E-1,-3.985230923E-1,-1.825189590E-1
1.618750124E0,-6.867674589E-1,5.083966255E-2,-1.078958511E-1
1.636573183E0,-4.135480523E-1,6.023142338E-1,-2.421112061E-1
1.654396364E0,-7.527077198E-2,8.322062492E-1,4.270744324E-2
1.672220216E0,1.434454918E-1,8.865575790E-1,6.312112808E-1
1.690043825E0,1.153784096E-1,6.511018276E-1,1.282702446E0
1.707867067E0,1.601944864E-1,2.695007324E-1,2.164189339E0
1.725692141E0,4.308038354E-1,4.490733147E-2,2.695746422E0
1.743515077E0,4.131532311E-1,-3.394513130E-1,3.175119400E0
1.761334901E0,1.143820882E-1,-7.084331512E-1,3.086564064E0
1.779162538E0,-4.352489710E-1,-5.365478992E-1,2.589805603E0
1.796986025E0,-5.804644227E-1,-2.914693356E-1,9.775629044E-1
1.814805177E0,6.687402725E-1,-3.395042419E-1,1.417948723E0
1.832633363E0,1.380576849E0,-1.917476892E0,4.260160446E0
1.850457460E0,4.429731369E-1,-4.195526123E0,5.697286606E0
1.868284364E0,-1.234774888E-1,-4.372142792E0,3.543521881E0
1.886104677E0,2.877524793E-1,-2.936423302E0,4.748563766E-1
1.903926943E0,5.603710413E-1,-2.256686687E0,-1.235032082E0
1.921753298E0,1.063380480E0,-2.059661388E0,-1.162060738E0
1.939570986E0,1.490079403E0,-1.840632439E0,-4.363965988E-1
1.957399599E0,1.735984325E0,-1.254344225E0,-6.852149963E-3
1.975222048E0,1.619216561E0,-7.558219433E-1,-1.516904831E-1
1.993048097E0,1.020788908E0,-5.742666721E-1,-9.788188934E-1
2.010869204E0,2.105804682E-1,-8.394069672E-1,-1.740566254E0
2.028695375E0,-1.614425778E-1,-1.032865047E0,-2.258014679E0
2.046513124E0,-2.459065020E-1,-1.244004726E0,-1.767836571E0
2.064349000E0,-1.747662425E-1,-1.354959488E0,-1.318387985E0
2.082164797E0,4.539826512E-2,-1.288898468E0,-1.149261475E0
